title,rating,comments,year
未麻的部屋,9.1,419467,1997
头脑特工队,8.8,愿我们都不用长大，每一座城堡都能永远存在。,2015
借东西的小人阿莉埃蒂,8.9,曾经的那段美好会沉淀为一辈子的记忆。,2010
入殓师,8.9,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,2008
菊次郎的夏天,8.9,668824,1999
剪刀手爱德华,8.7,1114631,1990
断背山,8.8,每个人心中都有一座断背山。,2005
勇敢的心,8.9,602370,1995
时空恋旅人,8.8,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,2013
消失的爱人,8.7,年度最佳date movie。,2014
倩女幽魂,8.8,830259,1987
无人知晓,9.1,我的平常生活就是他人的幸福。,2004
驯龙高手,8.8,和谐的生活离不开摸头与被摸头。,2010
花样年华,8.8,796176,2000
傲慢与偏见,8.7,爱是摈弃傲慢与偏见之后的曙光。,2005
新世界,8.9,要做就做得狠一点，这样才能活下去。,2013
完美的世界,9.1,357622,1993
玩具总动员3,8.9,跨度十五年的欢乐与泪水。,2010
一个叫欧维的男人决定去死,8.9,惠及一生的美丽。,2015
阳光灿烂的日子,8.8,690582,1994
小森林 夏秋篇,9.0,那些静得只能听见呼吸的日子里，你明白孤独即生活。,2014
天使爱美丽,8.7,1016409,2001
怪兽电力公司,8.8,763874,2001
色，戒,8.7,假戏真情，爱欲深海,2007
教父3,9.0,428095,1990
侧耳倾听,8.9,517035,1995
哪吒闹海,9.2,305621,1979
请以你的名字呼唤我,8.8,沉醉在电影的情感和视听氛围中无法自拔。,2017
幸福终点站,8.8,有时候幸福需要等一等。,2004
九品芝麻官,8.8,786392,1994
被解救的姜戈,8.8,热血沸腾，那个低俗、性感的无耻混蛋又来了。,2012
釜山行,8.6,揭露人性的丧尸题材力作。,2016
神偷奶爸,8.7,Mr. I Don't Care其实也有Care的时候。,2010
小森林 冬春篇,9.0,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,2015
喜宴,9.0,426659,1993
萤火之森,8.8,触不到的恋人。,2011
告白,8.8,没有一人完全善，也没有一人完全恶。,2010
玛丽和麦克斯,9.0,你是我最好的朋友，你是我唯一的朋友 。,2009
七武士,9.3,232927,1954
头号玩家,8.6,写给影迷，动漫迷和游戏迷的一封情书。,2018
模仿游戏,8.8,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,2014
大鱼,8.8,623012,2003
惊魂记,9.0,352067,1960
射雕英雄传之东成西就,8.7,713377,1993
